language,period,repetition,test_accuracy,test_f1_macro,training_logs,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2
pt,before_2016,1,0.46153846153846156,0.2669683257918552,"[{""loss"": 1.0914, ""grad_norm"": 3.0747289657592773, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 0.9926, ""grad_norm"": 4.109118461608887, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 0.9905, ""grad_norm"": 2.7284984588623047, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 316.3622, ""train_samples_per_second"": 0.977, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0248374740282695, ""epoch"": 3.0}]",0.4782608695652174,1.0,0.6470588235294118,0.0,0.0,0.0,0.3333333333333333,0.1,0.15384615384615385
pt,before_2016,2,0.4230769230769231,0.1981981981981982,"[{""loss"": 1.092, ""grad_norm"": 6.763782978057861, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0798, ""grad_norm"": 5.209150791168213, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.023, ""grad_norm"": 7.036172389984131, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 312.6188, ""train_samples_per_second"": 0.988, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0649288892745972, ""epoch"": 3.0}]",0.4230769230769231,1.0,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0.0
pt,before_2016,3,0.34615384615384615,0.23398692810457514,"[{""loss"": 1.1376, ""grad_norm"": 8.1045503616333, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0153, ""grad_norm"": 2.2480838298797607, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0041, ""grad_norm"": 5.739880561828613, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 309.1872, ""train_samples_per_second"": 0.999, ""train_steps_per_second"": 0.039, ""train_loss"": 1.0523634751637776, ""epoch"": 3.0}]",0.3684210526315789,0.6363636363636364,0.4666666666666667,0.0,0.0,0.0,0.2857142857142857,0.2,0.23529411764705882
pt,before_2016,4,0.5,0.31746031746031744,"[{""loss"": 1.1156, ""grad_norm"": 5.004412651062012, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0212, ""grad_norm"": 2.6528031826019287, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0255, ""grad_norm"": 4.021244525909424, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 309.5265, ""train_samples_per_second"": 0.998, ""train_steps_per_second"": 0.039, ""train_loss"": 1.054107705752055, ""epoch"": 3.0}]",0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.2,0.2857142857142857
pt,before_2016,5,0.4230769230769231,0.1981981981981982,"[{""loss"": 1.07, ""grad_norm"": 4.263193607330322, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0268, ""grad_norm"": 2.1505253314971924, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0945, ""grad_norm"": 9.852812767028809, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 311.6654, ""train_samples_per_second"": 0.991, ""train_steps_per_second"": 0.039, ""train_loss"": 1.06376846631368, ""epoch"": 3.0}]",0.4230769230769231,1.0,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0.0
pt,before_2016,6,0.2692307692307692,0.17496807151979565,"[{""loss"": 1.1013, ""grad_norm"": 4.268117427825928, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0191, ""grad_norm"": 6.158209800720215, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0855, ""grad_norm"": 6.661686897277832, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 317.6296, ""train_samples_per_second"": 0.973, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0686264038085938, ""epoch"": 3.0}]",0.3333333333333333,0.5454545454545454,0.41379310344827586,0.0,0.0,0.0,0.125,0.1,0.1111111111111111
pt,before_2016,7,0.5384615384615384,0.39734299516908217,"[{""loss"": 1.0732, ""grad_norm"": 3.980375051498413, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0142, ""grad_norm"": 4.768390655517578, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0036, ""grad_norm"": 3.0681121349334717, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 312.5484, ""train_samples_per_second"": 0.989, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0303415457407634, ""epoch"": 3.0}]",0.5384615384615384,0.6363636363636364,0.5833333333333334,0.0,0.0,0.0,0.5384615384615384,0.7,0.6086956521739131
pt,before_2016,8,0.4230769230769231,0.1981981981981982,"[{""loss"": 1.0553, ""grad_norm"": 4.063559055328369, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0267, ""grad_norm"": 5.9340128898620605, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 0.9906, ""grad_norm"": 5.056352615356445, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 307.4655, ""train_samples_per_second"": 1.005, ""train_steps_per_second"": 0.039, ""train_loss"": 1.024217168490092, ""epoch"": 3.0}]",0.4230769230769231,1.0,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0.0
pt,before_2016,9,0.5384615384615384,0.38888888888888884,"[{""loss"": 1.1056, ""grad_norm"": 3.3545637130737305, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0296, ""grad_norm"": 2.481219530105591, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0349, ""grad_norm"": 4.190648555755615, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 310.3112, ""train_samples_per_second"": 0.996, ""train_steps_per_second"": 0.039, ""train_loss"": 1.0567107597986858, ""epoch"": 3.0}]",0.5625,0.8181818181818182,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.5
pt,before_2016,10,0.38461538461538464,0.1851851851851852,"[{""loss"": 1.0584, ""grad_norm"": 3.824674606323242, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0309, ""grad_norm"": 2.592987298965454, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0393, ""grad_norm"": 4.059342384338379, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 308.1569, ""train_samples_per_second"": 1.003, ""train_steps_per_second"": 0.039, ""train_loss"": 1.0428708394368489, ""epoch"": 3.0}]",0.4,0.9090909090909091,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
pt,before_2016,11,0.46153846153846156,0.2650793650793651,"[{""loss"": 1.0998, ""grad_norm"": 4.665818214416504, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0392, ""grad_norm"": 4.209721088409424, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 0.9937, ""grad_norm"": 3.9167864322662354, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 313.7292, ""train_samples_per_second"": 0.985, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0442117651303608, ""epoch"": 3.0}]",0.4583333333333333,1.0,0.6285714285714286,0.0,0.0,0.0,0.5,0.1,0.16666666666666666
pt,before_2016,12,0.5,0.36848484848484847,"[{""loss"": 1.074, ""grad_norm"": 6.273855209350586, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0773, ""grad_norm"": 7.115234851837158, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0528, ""grad_norm"": 3.7593061923980713, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 313.6352, ""train_samples_per_second"": 0.985, ""train_steps_per_second"": 0.038, ""train_loss"": 1.067996581395467, ""epoch"": 3.0}]",0.5,0.6363636363636364,0.56,0.0,0.0,0.0,0.5,0.6,0.5454545454545454
pt,before_2016,13,0.5,0.3182503770739065,"[{""loss"": 1.0633, ""grad_norm"": 3.9742672443389893, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0655, ""grad_norm"": 6.152412414550781, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0488, ""grad_norm"": 5.676109790802002, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 314.0386, ""train_samples_per_second"": 0.984, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0592135588328044, ""epoch"": 3.0}]",0.4782608695652174,1.0,0.6470588235294118,0.0,0.0,0.0,0.6666666666666666,0.2,0.3076923076923077
pt,before_2016,14,0.46153846153846156,0.2669683257918552,"[{""loss"": 1.0827, ""grad_norm"": 4.136020660400391, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 0.9851, ""grad_norm"": 8.27993392944336, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0051, ""grad_norm"": 4.631706714630127, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 319.1178, ""train_samples_per_second"": 0.968, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0242889126141865, ""epoch"": 3.0}]",0.4782608695652174,1.0,0.6470588235294118,0.0,0.0,0.0,0.3333333333333333,0.1,0.15384615384615385
pt,before_2016,15,0.46153846153846156,0.2736111111111111,"[{""loss"": 1.0795, ""grad_norm"": 4.252649784088135, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0255, ""grad_norm"": 2.79677677154541, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0158, ""grad_norm"": 3.039184808731079, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 310.5619, ""train_samples_per_second"": 0.995, ""train_steps_per_second"": 0.039, ""train_loss"": 1.040285547574361, ""epoch"": 3.0}]",0.5238095238095238,1.0,0.6875,0.0,0.0,0.0,0.2,0.1,0.13333333333333333
pt,before_2016,16,0.4230769230769231,0.1981981981981982,"[{""loss"": 1.0308, ""grad_norm"": 6.711883068084717, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0093, ""grad_norm"": 4.731694221496582, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 0.9952, ""grad_norm"": 4.59581995010376, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 310.6494, ""train_samples_per_second"": 0.995, ""train_steps_per_second"": 0.039, ""train_loss"": 1.0117456118265789, ""epoch"": 3.0}]",0.4230769230769231,1.0,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0.0
pt,before_2016,17,0.5,0.31805555555555554,"[{""loss"": 1.14, ""grad_norm"": 5.424077987670898, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0277, ""grad_norm"": 4.996858596801758, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.035, ""grad_norm"": 5.1343512535095215, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 312.0496, ""train_samples_per_second"": 0.99, ""train_steps_per_second"": 0.038, ""train_loss"": 1.067586104075114, ""epoch"": 3.0}]",0.5238095238095238,1.0,0.6875,0.0,0.0,0.0,0.4,0.2,0.26666666666666666
